,E_price,Text,Psol,Pelec,Ppeop,Pven,Pint
2020-01-01 00:00:00,0.1833,281.25,0.0,1248,960,-4176.0,-1968.0
2020-01-01 01:00:00,0.1833,280.95,0.0,1248,960,-2496.0,-288.0
2020-01-01 02:00:00,0.1833,280.75,0.0,1248,960,-2563.2,-355.2
2020-01-01 03:00:00,0.1833,280.55,0.0,1248,960,-2601.6,-393.6
2020-01-01 04:00:00,0.1833,280.25,0.0,1248,960,-2649.6,-441.6
2020-01-01 05:00:00,0.1833,280.05,0.0,1248,960,-2707.2,-499.2
2020-01-01 06:00:00,0.3666,279.85,0.0,1728,960,-2755.2,-67.2000000000003
2020-01-01 07:00:00,0.3666,279.55,0.0,2208,960,-2793.6,374.4
2020-01-01 08:00:00,0.3666,279.65,29.1,1248,960,-2860.8,-652.8
2020-01-01 09:00:00,0.3666,279.65,174.4,480,960,-2832.0,-1392.0
2020-01-01 10:00:00,0.3666,280.15,1250.2,480,960,-2832.0,-1392.0
2020-01-01 11:00:00,0.3666,280.45,1221.1,1440,960,-2736.0,-336.0
2020-01-01 12:00:00,0.3666,280.55,1075.7,2400,960,-2668.8,691.2
2020-01-01 13:00:00,0.3666,280.35,261.7,1440,960,-2649.6,-249.6
2020-01-01 14:00:00,0.3666,280.35,843.1,480,960,-2688.0,-1248.0
2020-01-01 15:00:00,0.3666,280.25,145.4,480,960,-2688.0,-1248.0
2020-01-01 16:00:00,0.3666,280.05,0.0,1440,960,-2707.2,-307.2
2020-01-01 17:00:00,0.3666,279.95,0.0,2784,960,-2755.2,988.8
2020-01-01 18:00:00,0.3666,279.85,0.0,2112,960,-2774.4,297.6
2020-01-01 19:00:00,0.3666,279.85,0.0,1728,960,-2793.6,-105.6
2020-01-01 20:00:00,0.3666,279.75,0.0,960,960,-2793.6,-873.6
2020-01-01 21:00:00,0.3666,279.65,0.0,1248,960,-2812.8,-604.8
2020-01-01 22:00:00,0.1833,279.55,0.0,1248,960,-2832.0,-624.0
2020-01-01 23:00:00,0.1833,279.45,0.0,1248,960,-2860.8,-652.8
2020-01-02 00:00:00,0.1833,279.15,0.0,1248,960,-2880.0,-672.0
2020-01-02 01:00:00,0.1833,278.85,0.0,1248,960,-2937.6,-729.6
2020-01-02 02:00:00,0.1833,278.65,0.0,1248,960,-3004.8,-796.8
2020-01-02 03:00:00,0.1833,278.35,0.0,1248,960,-3043.2,-835.2
2020-01-02 04:00:00,0.1833,278.05,0.0,1248,960,-3110.4,-902.4
2020-01-02 05:00:00,0.1833,277.75,0.0,1248,960,-3168.0,-960.0
2020-01-02 06:00:00,0.3666,277.45,0.0,1728,960,-3235.2,-547.2
2020-01-02 07:00:00,0.3666,277.15,0.0,2208,960,-3302.4,-134.4
2020-01-02 08:00:00,0.3666,277.55,203.5,1248,960,-3360.0,-1152.0
2020-01-02 09:00:00,0.3666,278.25,1133.9,480,960,-3273.6,-1833.6
2020-01-02 10:00:00,0.3666,279.25,2558.5,480,960,-3129.6,-1689.6
2020-01-02 11:00:00,0.3666,279.15,1046.7,1440,960,-2918.4,-518.4
2020-01-02 12:00:00,0.3666,279.55,2384.0,2400,960,-2937.6,422.4
2020-01-02 13:00:00,0.3666,279.85,2791.1,1440,960,-2860.8,-460.8
2020-01-02 14:00:00,0.3666,280.05,2442.2,480,960,-2793.6,-1353.6
2020-01-02 15:00:00,0.3666,279.95,1511.8,480,960,-2755.2,-1315.2
2020-01-02 16:00:00,0.3666,279.55,378.0,1440,960,-2774.4,-374.4
2020-01-02 17:00:00,0.3666,279.25,0.0,2784,960,-2860.8,883.2
2020-01-02 18:00:00,0.3666,278.95,0.0,2112,960,-2918.4,153.6
2020-01-02 19:00:00,0.3666,278.65,0.0,1728,960,-2985.6,-297.6
2020-01-02 20:00:00,0.3666,278.35,0.0,960,960,-3043.2,-1123.2
2020-01-02 21:00:00,0.3666,278.05,0.0,1248,960,-3110.4,-902.4
2020-01-02 22:00:00,0.1833,277.75,0.0,1248,960,-3168.0,-960.0
2020-01-02 23:00:00,0.1833,277.45,0.0,1248,960,-3235.2,-1027.2
2020-01-03 00:00:00,0.1833,277.15,0.0,1248,960,-3302.4,-1094.4
2020-01-03 01:00:00,0.1833,276.85,0.0,1248,960,-3360.0,-1152.0
2020-01-03 02:00:00,0.1833,276.65,0.0,1248,960,-3427.2,-1219.2
2020-01-03 03:00:00,0.1833,276.45,0.0,1248,960,-3465.6,-1257.6
2020-01-03 04:00:00,0.1833,276.15,0.0,1248,960,-3513.6,-1305.6
2020-01-03 05:00:00,0.1833,275.95,0.0,1248,960,-3571.2,-1363.2
2020-01-03 06:00:00,0.3666,275.75,0.0,1728,960,-3609.6,-921.6
2020-01-03 07:00:00,0.3666,275.45,0.0,2208,960,-3657.6,-489.6
2020-01-03 08:00:00,0.3666,276.15,436.1,1248,960,-3715.2,-1507.2
